Essa base foi extraída do IMDB.;;;;
;;;;
;;;;
titulo;ano;diretor;duracao;cor
Avatar ;2009;James Cameron;178;Color
Pirates of the Caribbean: At World's End ;2007;Gore Verbinski;169;Color
The Dark Knight Rises ;2012;Christopher Nolan;164;Color
John Carter ;2012;Andrew Stanton;132;N#D
N#D;2007;N#D;156;Color
Tangled ;2010;Nathan Greno;100;Color
Avengers: Age of Ultron ;2015;Joss Whedon;141;Color
Batman v Superman: Dawn of Justice ;2016;Zack Snyder;N#D;Color
;;;;
Fonte: www.imdb.com;;;;
